LIMIT_BAL;CHECKING_ACCOUNT;EDUCATION;MARRIAGE;AGE;BILL_AMT;PAY_AMT1;DEFAULT_AMT
54198;No;3.Graduate School;Married;36;35054,6642;1401,6205;0
15055;No;2.University;Married;51;1173,9889;301,1;0
9033;Yes;3.Graduate School;Single;23;1699,7095;1699,7095;0
72264;No;3.Graduate School;Single;41;789,4842;789,4842;0
126462;No;2.University;Married;34;74595,4173;2933,9184;0
99363;No;1.High School;Married;46;68867,2909;2472,031;0
9033;Yes;2.University;Single;22;7872,2595;602,2;0
72264;No;2.University;Married;34;3623,7385;451,65;0
45165;No;3.Graduate School;Single;27;5823,8762;752,75;0
63231;Yes;2.University;Married;33;2407,8967;451,65;0
15055;Yes;1.High School;Married;51;90,33;90,33;0
15055;No;2.University;Single;23;3261,8163;301,1;0
51187;No;2.University;Single;29;3011;3011;0
6022;No;3.Graduate School;Single;29;4692,9446;4692,9446;0
15055;No;3.Graduate School;Single;28;1780,4043;301,1;0
51187;Yes;2.University;Single;27;6116,2443;500,1271;0
60220;No;3.Graduate School;Single;34;53051,4112;2408,8;0
24088;Yes;2.University;Married;23;3168,1742;496,815;0
42154;No;2.University;Married;32;23528,5562;1040,3005;0
24088;No;3.Graduate School;Single;25;16784,5184;9033;0
105385;No;3.Graduate School;Single;41;874,9966;874,9966;0
84308;Yes;2.University;Married;56;54905,585;2421,4462;0
9033;Yes;1.High School;Single;26;3133,2466;511,87;0
42154;No;3.Graduate School;Married;34;8445,5539;1505,5;0
60220;Yes;3.Graduate School;Single;37;30974,157;1204,4;0
60220;Yes;1.High School;Single;30;59058,6573;2198,03;0
63231;No;1.High School;Married;45;37006,3944;3154,9258;0
15055;No;1.High School;Married;57;3722,1982;0;1
9033;No;3.Graduate School;Single;41;8266,0983;1053,85;0
15055;No;2.University;Single;27;117,429;117,429;0
87319;No;1.High School;Married;47;119,2356;119,2356;0
75275;Yes;3.Graduate School;Married;34;47229,9438;5417,9934;0
18066;Yes;2.University;Married;46;7167,0833;903,3;0
33121;Yes;3.Graduate School;Single;27;31553,7745;1656,05;0
111407;No;3.Graduate School;Single;50;4555,643;4555,643;0
27099;Yes;2.University;Married;35;22237,4394;1053,85;0
15055;Yes;2.University;Single;22;8759,6012;454,661;0
81297;No;2.University;Single;37;10055,8367;1505,5;0
15055;Yes;2.University;Single;22;4598,7003;4516,5;0
39143;No;1.High School;Married;56;19865,9758;903,3;0
24088;No;3.Graduate School;Single;30;30,11;30,11;0
15055;No;2.University;Single;30;14392,8811;0;1
6022;Yes;2.University;Single;22;3800,4842;364,9332;0
72264;No;3.Graduate School;Single;37;8002,6358;4516,5;0
24088;Yes;1.High School;Single;35;3737,2532;3737,2532;0
150550;Yes;3.Graduate School;Married;47;33306,4776;21080,011;0
18066;Yes;2.University;Married;24;17430,9801;752,75;0
6022;No;2.University;Single;25;3515,9447;361,32;0
30110;Yes;2.University;Married;38;4203,6571;0;1
108396;Yes;3.Graduate School;Single;32;17185,8847;17185,8847;0
39143;Yes;2.University;Married;34;1624,7356;1624,7356;0
93341;No;3.Graduate School;Single;32;18712,4617;3017,022;0
18066;Yes;3.Graduate School;Single;27;6126,4817;404,0762;0
54198;Yes;3.Graduate School;Single;24;6650,3957;6650,3957;0
15055;No;2.University;Married;36;5454,1254;602,2;0
15055;Yes;3.Graduate School;Single;24;11197,3068;572,09;0
6022;Yes;3.Graduate School;Single;22;5855,1906;451,65;0
150550;Yes;3.Graduate School;Married;34;41,5518;41,5518;0
9033;Yes;1.High School;Single;22;8808,9816;301,1;0
42154;No;3.Graduate School;Single;31;8219,7289;7527,5;0
42154;Yes;3.Graduate School;Single;26;5419,8;3011;0
36132;No;2.University;Single;26;33295,0358;1505,5;0
108396;Yes;2.University;Married;48;69818,4658;2740,01;0
30110;No;3.Graduate School;Married;47;443,5203;443,5203;0
63231;Yes;2.University;Married;41;477,5446;477,5446;0
99363;Yes;3.Graduate School;Married;50;1305,8707;1305,8707;0
66242;No;3.Graduate School;Single;24;32794,9087;1505,5;0
12044;Yes;1.High School;Married;43;11713,0911;511,87;0
9033;No;2.University;Single;39;8463,3188;914,1396;0
141517;No;2.University;Single;27;91329,652;3914,3;0
9033;No;1.High School;Married;42;117,429;117,429;0
24088;No;2.University;Single;36;23636,6511;933,41;0
93341;Yes;3.Graduate School;Single;38;1367,5962;1367,5962;0
108396;Yes;3.Graduate School;Married;40;34767,4148;3613,2;0
90330;Yes;2.University;Single;35;89507,3948;3618,9209;0
96352;Yes;2.University;Single;33;28314,5407;3023,6462;0
51187;Yes;3.Graduate School;Single;28;39504,0189;1966,183;0
105385;No;1.High School;Married;44;808,7546;808,7546;0
6022;No;2.University;Married;37;4971,4621;484,4699;0
15055;No;2.University;Single;23;14590,1016;722,9411;0
6022;Yes;1.High School;Single;24;5469,4815;0;1
15055;Yes;3.Graduate School;Single;24;10778,1756;629,299;0
57209;No;2.University;Single;34;39559,4213;1505,5;0
18066;Yes;2.University;Married;33;10950,1037;453,4566;0
24088;No;3.Graduate School;Single;35;1197,4747;1197,4747;0
45165;Yes;2.University;Single;27;33136,055;1354,95;0
72264;Yes;1.High School;Married;50;69755,5359;3045,9276;0
15055;No;3.Graduate School;Single;39;14444,9714;541,98;0
15055;Yes;2.University;Single;27;8347,6964;541,98;0
54198;Yes;3.Graduate School;Single;32;1762,3383;849,4031;0
9033;Yes;3.Graduate School;Single;40;64,7365;64,7365;0
75275;Yes;2.University;Married;75;491,0941;491,0941;0
30110;Yes;2.University;Single;27;10375,0027;538,3668;0
99363;No;3.Graduate School;Single;25;13784,6591;753,9544;0
15055;No;1.High School;Married;46;4634,5312;470,0171;0
9033;No;2.University;Single;28;8884,5577;1507,3066;0
42154;Yes;2.University;Single;26;31689,5706;1615,7026;0
48176;Yes;3.Graduate School;Single;28;14386,2569;2120,3462;0
120440;Yes;2.University;Single;29;1119,7909;941,5397;0
15055;No;2.University;Married;25;8585,2643;471,2215;0
42154;Yes;2.University;Married;48;371,2563;371,2563;0
48176;Yes;2.University;Married;33;738,5983;738,5983;0
66242;No;3.Graduate School;Married;48;64291,4742;3011;0
153561;Yes;3.Graduate School;Single;29;29933,5554;12047,011;0
15055;No;2.University;Single;29;10568,61;482,3622;0
48176;Yes;3.Graduate School;Married;38;1404,3304;1404,3304;0
24088;Yes;3.Graduate School;Single;37;74,9739;74,9739;0
3011;No;1.High School;Single;23;2360,0218;341,4474;0
39143;Yes;1.High School;Single;49;27509,0982;1234,51;0
12044;Yes;3.Graduate School;Single;48;10372,5939;481,76;0
15055;No;2.University;Single;27;4480,368;511,87;0
30110;No;1.High School;Single;32;9498,1995;612,7385;0
36132;No;3.Graduate School;Married;34;190,2952;0;1
60220;Yes;2.University;Single;33;3869,7372;602,2;0
21077;Yes;2.University;Single;36;20812,032;1349,8313;0
15055;Yes;3.Graduate School;Single;26;95,1476;95,1476;0
75275;Yes;2.University;Married;31;30891,0534;1204,4;0
9033;Yes;3.Graduate School;Single;27;740,1038;301,1;0
81297;No;2.University;Married;44;32876,8079;3029,9693;0
54198;Yes;1.High School;Single;30;46114,0672;2325,0942;0
30110;Yes;3.Graduate School;Single;28;15854,7216;1256,4903;0
69253;Yes;1.High School;Married;32;26720,5173;1505,5;0
63231;Yes;3.Graduate School;Married;46;12641,9846;12641,9846;0
63231;No;3.Graduate School;Single;38;18910,2844;986,4036;0
132484;Yes;2.University;Married;46;54666,8127;2592,471;0
30110;Yes;2.University;Single;25;21582,2458;1045,4192;0
72264;Yes;2.University;Married;46;2980,89;389,9245;0
84308;No;3.Graduate School;Single;33;270,3878;270,3878;0
9033;No;2.University;Married;43;785,871;331,21;0
60220;No;3.Graduate School;Single;31;59420,2784;2709,9;0
36132;Yes;2.University;Married;29;197,8227;197,8227;0
63231;Yes;2.University;Married;36;43056,0956;1952,0313;0
84308;Yes;3.Graduate School;Married;36;18303,2668;829,5305;0
30110;No;2.University;Single;37;29574,6442;1050,839;0
60220;Yes;3.Graduate School;Single;27;200,2315;200,2315;0
33121;Yes;2.University;Single;26;969,542;969,542;0
9033;No;1.High School;Married;55;3195,5743;361,32;0
18066;Yes;3.Graduate School;Single;27;4155,4811;4155,4811;0
120440;Yes;2.University;Married;38;1083,96;301,1;0
54198;Yes;2.University;Married;34;44060,8663;2107,7;0
6022;No;3.Graduate School;Single;40;4136,5118;903,3;0
60220;Yes;1.High School;Married;49;15368,144;0;1
30110;No;3.Graduate School;Single;27;15824,9127;491,0941;0
18066;No;2.University;Single;23;10021,2102;593,167;0
33121;Yes;2.University;Single;36;14737,9417;662,42;0
78286;Yes;1.High School;Married;53;49,6815;49,6815;0
33121;No;2.University;Single;29;17041,6578;752,75;0
102374;Yes;3.Graduate School;Single;27;54240,154;6354,7155;0
15055;No;2.University;Single;24;734,9851;322,177;0
69253;Yes;2.University;Married;28;5668,5086;514,881;0
108396;Yes;2.University;Single;32;28319,6594;3011;0
66242;Yes;2.University;Married;41;195,715;97,8575;0
18066;Yes;2.University;Married;34;8423,5736;1144,18;0
102374;No;2.University;Married;55;13448,6315;13448,6315;0
45165;No;3.Graduate School;Married;40;30888,6446;1565,72;0
60220;Yes;2.University;Married;37;152,0555;152,0555;0
39143;Yes;2.University;Single;40;3731,8334;903,3;0
18066;Yes;3.Graduate School;Single;28;3080,8552;0;1
57209;Yes;3.Graduate School;Single;28;44244,5373;1744,8745;0
78286;Yes;3.Graduate School;Single;30;48250,0706;3011;0
15055;Yes;2.University;Married;31;14367,2876;594,3714;0
36132;Yes;3.Graduate School;Single;34;1966,4841;1966,4841;0
72264;Yes;2.University;Single;30;27,7012;27,7012;0
15055;No;2.University;Single;36;1858,3892;364,9332;0
60220;Yes;3.Graduate School;Single;29;55,1013;0;1
54198;Yes;3.Graduate School;Single;26;41621,6552;1637,984;0
30110;Yes;2.University;Single;26;1262,2112;1262,2112;0
9033;Yes;2.University;Single;26;5724,5132;424,8521;0
27099;No;3.Graduate School;Single;26;6164,4203;463,9951;0
24088;Yes;2.University;Single;43;23516,5122;956,5947;0
15055;No;1.High School;Married;58;5636,592;1023,74;0
54198;No;2.University;Married;45;8557,8642;445,9291;0
72264;Yes;2.University;Single;26;38823,834;1911,6839;0
114418;No;2.University;Single;34;53958,9266;2712,911;0
78286;No;3.Graduate School;Married;34;87,6201;87,6201;0
96352;Yes;2.University;Single;30;21423,5661;779,5479;0
15055;No;2.University;Single;32;13471,5151;0;1
69253;Yes;3.Graduate School;Single;35;90,33;90,33;0
99363;Yes;2.University;Married;56;457,672;457,672;0
3011;No;2.University;Single;24;579,0153;0;1
48176;No;3.Graduate School;Single;30;896,3747;896,3747;0
27099;Yes;3.Graduate School;Single;34;10565,2979;493,804;0
54198;No;3.Graduate School;Married;46;52569,049;2438,91;0
9033;No;1.High School;Married;58;6072,5848;493,804;0
9033;No;2.University;Married;43;5992,1911;0;1
42154;Yes;3.Graduate School;Single;28;4349,6906;4215,4;0
63231;No;3.Graduate School;Single;30;21650,8966;1053,85;0
15055;No;2.University;Single;31;4555,3419;602,2;0
39143;Yes;2.University;Single;29;27333,858;1264,62;0
15055;Yes;2.University;Married;37;963,52;451,65;0
42154;No;1.High School;Married;36;23597,8092;903,3;0
51187;Yes;2.University;Single;28;1158,6328;332,7155;0
24088;No;2.University;Single;25;9463,2719;3014,011;0
24088;No;1.High School;Married;73;19761,4941;1053,85;0
78286;No;3.Graduate School;Married;30;87,6201;87,6201;0
84308;Yes;2.University;Married;39;10814,9098;10814,9098;0
93341;No;2.University;Married;44;27697,8879;1324,84;0
42154;Yes;2.University;Single;29;5149,4122;903,3;0
30110;No;3.Graduate School;Single;38;12842,8183;753,3522;0
63231;Yes;2.University;Married;30;31956,9474;1205,0022;0
72264;No;3.Graduate School;Single;29;39829,508;1575,6563;0
45165;No;3.Graduate School;Single;41;627,4924;627,4924;0
9033;No;2.University;Married;48;8692,757;534,1514;0
60220;No;3.Graduate School;Married;52;809,959;809,959;0
96352;Yes;3.Graduate School;Single;27;18937,0823;3433,7444;0
84308;No;3.Graduate School;Single;31;52887,0106;3011;0
18066;Yes;3.Graduate School;Single;23;8604,5347;0;1
69253;Yes;2.University;Single;27;3808,0117;0;1
144528;Yes;1.High School;Married;41;8028,8315;8028,8315;0
60220;Yes;3.Graduate School;Single;31;4469,8295;4469,8295;0
15055;Yes;3.Graduate School;Single;30;4896,4882;602,2;0
15055;No;2.University;Married;48;12961,7528;1092,6919;0
9033;No;3.Graduate School;Single;24;7935,1894;451,65;0
132484;Yes;3.Graduate School;Single;29;50343,6189;2430,1781;0
69253;Yes;2.University;Single;38;841,5745;841,5745;0
60220;No;2.University;Married;38;31893,7164;1354,95;0
147539;Yes;2.University;Married;30;59607,8637;3011;0
6022;Yes;1.High School;Single;49;3637,5891;903,3;0
51187;Yes;3.Graduate School;Single;31;59,9189;59,9189;0
117429;Yes;3.Graduate School;Single;27;90329,3978;3916,4077;0
33121;Yes;3.Graduate School;Single;29;14915,5907;752,75;0
174638;Yes;3.Graduate School;Married;36;48835,1079;1933,6642;0
108396;No;1.High School;Married;55;2554,8335;1811,1165;0
81297;Yes;2.University;Married;32;70167,1396;3011;0
33121;No;1.High School;Married;37;18818,4489;692,53;0
24088;Yes;3.Graduate School;Single;23;22064,9091;967,1332;0
15055;No;2.University;Single;23;105,385;105,385;0
30110;No;3.Graduate School;Single;32;25769,9446;1204,4;0
60220;Yes;3.Graduate School;Single;27;37533,0183;1717,4744;0
66242;No;2.University;Single;34;10027,8344;481,76;0
48176;Yes;3.Graduate School;Single;28;32399,5644;1354,95;0
54198;Yes;3.Graduate School;Married;53;379,386;379,386;0
42154;Yes;1.High School;Married;30;29509,9077;1356,4555;0
180660;No;3.Graduate School;Married;53;138163,3482;0;1
60220;Yes;3.Graduate School;Single;26;53,8969;53,8969;0
24088;No;2.University;Single;42;8491,6222;752,75;0
39143;No;1.High School;Single;39;20874,9619;0;1
15055;No;3.Graduate School;Single;32;7265,8441;541,98;0
69253;Yes;2.University;Married;41;5468,8793;5468,8793;0
21077;No;2.University;Married;48;12008,7713;632,31;0
54198;Yes;2.University;Married;38;45662,1161;1703,3227;0
24088;Yes;2.University;Married;36;2600,9018;2600,9018;0
87319;Yes;2.University;Single;26;30067,846;24088;0
69253;Yes;3.Graduate School;Single;28;39520,8805;36160,0023;0
69253;No;3.Graduate School;Married;59;62126,2641;2269,0896;0
66242;No;3.Graduate School;Single;38;63545,0473;2682,4999;0
69253;No;2.University;Single;32;8432,6066;484,771;0
150550;No;2.University;Married;38;14957,7447;3018,8286;0
27099;Yes;3.Graduate School;Married;41;985,8014;985,8014;0
117429;Yes;1.High School;Single;35;109397,1575;4155,7822;0
120440;Yes;2.University;Single;41;112219,97;4221,422;0
54198;No;2.University;Married;34;840,069;840,069;0
18066;No;1.High School;Married;38;9129,6531;541,98;0
18066;Yes;2.University;Single;29;8538,5938;572,09;0
150550;Yes;3.Graduate School;Married;38;90,33;0;1
75275;Yes;2.University;Married;40;41281,1111;36144,3451;0
21077;Yes;2.University;Single;28;12585,6789;635,9232;0
27099;No;1.High School;Married;48;22075,7487;511,87;0
30110;Yes;2.University;Married;43;514,5799;514,5799;0
57209;No;2.University;Married;31;54388,5963;2288,36;0
69253;Yes;3.Graduate School;Married;42;4549,9221;4549,9221;0
96352;No;2.University;Married;39;27557,5753;998,7487;0
66242;Yes;2.University;Married;36;496,2128;496,2128;0
78286;Yes;3.Graduate School;Married;34;1833,0968;1833,0968;0
9033;Yes;2.University;Married;43;8015,8842;391,43;0
78286;No;2.University;Single;30;30405,078;1204,4;0
51187;Yes;2.University;Single;28;5304,1776;1204,4;0
24088;Yes;3.Graduate School;Married;28;2840,5774;362,2233;0
15055;No;3.Graduate School;Married;41;202,3392;202,3392;0
9033;Yes;2.University;Married;38;6535,3755;602,2;0
27099;Yes;2.University;Married;35;6766,9214;0;1
39143;Yes;3.Graduate School;Married;33;6185,7984;602,2;0
48176;No;3.Graduate School;Single;35;119,2356;119,2356;0
54198;Yes;2.University;Single;28;11664,9151;752,75;0
24088;Yes;2.University;Married;30;3976,6277;511,87;0
39143;No;2.University;Married;31;379,6871;379,6871;0
36132;Yes;2.University;Single;35;72,264;72,264;0
108396;No;3.Graduate School;Single;28;15946,8582;15946,8582;0
15055;No;2.University;Single;23;9256,1151;602,2;0
30110;No;1.High School;Married;56;16071,5136;718,1235;0
21077;No;1.High School;Married;32;20363,0919;921,366;0
15055;No;2.University;Married;47;5026,8645;903,3;0
87319;Yes;3.Graduate School;Married;34;29419,8788;1806,6;0
9033;Yes;3.Graduate School;Married;31;5275,8742;480,8567;0
123451;Yes;2.University;Single;27;9933,5901;9933,5901;0
108396;No;3.Graduate School;Single;28;246,902;117,429;0
42154;Yes;2.University;Married;42;33763,2463;1813,2242;0
63231;Yes;3.Graduate School;Single;32;20923,1379;963,52;0
66242;Yes;2.University;Single;27;3989,575;3989,575;0
6022;No;2.University;Single;27;5439,6726;0;1
186682;Yes;2.University;Married;45;47224,2229;0;1
6022;Yes;2.University;Single;21;4338,851;4338,851;0
15055;No;2.University;Single;23;5586,0072;853,9196;0
3011;No;2.University;Single;46;1925,2334;722,64;0
30110;Yes;1.High School;Married;50;16569,533;617,255;0
15055;No;3.Graduate School;Single;26;921,0649;921,0649;0
18066;No;2.University;Single;25;504,3425;504,3425;0
132484;Yes;3.Graduate School;Single;35;101709,7734;3944,41;0
36132;No;2.University;Married;44;26478,4329;1631,0587;0
33121;Yes;2.University;Married;40;27371,4955;180,66;0
9033;Yes;2.University;Married;36;8442,5429;0;1
30110;Yes;3.Graduate School;Single;24;9179,3346;467,6083;0
108396;Yes;3.Graduate School;Married;34;3052,5518;3011;0
117429;Yes;3.Graduate School;Single;31;13013,542;1505,5;0
69253;Yes;3.Graduate School;Single;28;2215,1927;2215,1927;0
36132;No;3.Graduate School;Single;27;15197,4203;1512,7264;0
30110;No;1.High School;Married;52;1827,0748;451,65;0
12044;Yes;2.University;Single;24;11054,5854;602,2;0
189693;Yes;2.University;Married;47;20531,1057;11498,1057;0
48176;Yes;3.Graduate School;Married;33;1623,8323;1623,8323;0
33121;Yes;2.University;Single;32;22451,5215;3312,1;0
63231;Yes;1.High School;Married;53;17605,9192;843,08;0
81297;No;3.Graduate School;Single;34;3615,0066;3615,0066;0
18066;Yes;2.University;Married;42;840,069;840,069;0
108396;No;2.University;Single;38;33482,6211;2410,3055;0
75275;Yes;1.High School;Single;35;2550,9192;2550,9192;0
27099;Yes;3.Graduate School;Single;24;4373,7786;481,76;0
108396;No;3.Graduate School;Single;28;120,7411;120,7411;0
15055;No;1.High School;Single;26;9221,4886;462,7907;0
60220;Yes;3.Graduate School;Single;29;2517,196;2517,196;0
48176;Yes;2.University;Single;60;1552,4716;1552,4716;0
24088;Yes;1.High School;Married;49;1397,4051;1397,4051;0
87319;No;3.Graduate School;Married;53;84917,4264;3914,3;0
81297;Yes;3.Graduate School;Single;28;143,0225;143,0225;0
24088;No;3.Graduate School;Single;31;9702,3453;4109,1117;0
15055;No;2.University;Single;36;1811,1165;391,43;0
9033;No;2.University;Married;35;809,0557;809,0557;0
27099;No;2.University;Single;33;8778,5705;4563,1705;0
48176;No;3.Graduate School;Single;26;1127,9206;1127,9206;0
24088;Yes;1.High School;Single;53;23471,9494;1204,4;0
6022;Yes;3.Graduate School;Single;25;4715,5271;481,76;0
63231;No;1.High School;Single;25;7116,1974;7116,1974;0
78286;Yes;2.University;Married;31;6983,7134;6983,7134;0
69253;Yes;3.Graduate School;Married;30;7822,8791;1505,5;0
48176;No;3.Graduate School;Single;34;25265,9032;1204,4;0
15055;No;3.Graduate School;Married;35;1812,0198;339,3397;0
24088;No;2.University;Married;32;13837,0505;645,8595;0
33121;No;1.High School;Single;46;17426,1625;807,2491;0
60220;No;3.Graduate School;Married;43;42396,0844;1532,599;0
108396;No;2.University;Single;29;79300,1048;2839,0719;0
24088;Yes;2.University;Single;24;22658,9794;978,2739;0
90330;Yes;2.University;Married;36;1563,0101;1563,0101;0
93341;Yes;2.University;Married;43;7281,2002;429,3686;0
9033;No;1.High School;Married;59;117,429;117,429;0
51187;No;3.Graduate School;Married;53;5397,8197;398,3553;0
42154;Yes;2.University;Single;28;8678,6053;905,4077;0
15055;No;3.Graduate School;Single;34;6654,0089;0;1
15055;Yes;2.University;Married;36;3119,0949;406,7861;0
33121;Yes;3.Graduate School;Single;24;10667,3708;602,2;0
135495;Yes;1.High School;Married;36;2746,032;2746,032;0
60220;Yes;2.University;Married;34;117,429;117,429;0
66242;No;3.Graduate School;Single;43;7749,1096;302,9066;0
15055;No;2.University;Married;37;14671,6997;602,2;0
12044;No;2.University;Single;23;8894,7951;0;1
57209;Yes;2.University;Married;37;35486,4416;1806,6;0
45165;No;3.Graduate School;Single;33;6975,8848;632,31;0
81297;Yes;2.University;Married;56;37266,8459;1505,5;0
18066;No;3.Graduate School;Single;25;16029,0585;607,6198;0
60220;Yes;2.University;Married;39;23817,01;998,1465;0
45165;Yes;2.University;Married;39;10895,0024;903,3;0
6022;Yes;2.University;Single;24;4181,6768;372,4607;0
21077;No;3.Graduate School;Married;46;16643,0014;782,86;0
69253;No;3.Graduate School;Married;39;198,726;198,726;0
9033;No;1.High School;Married;48;8719,856;441,1115;0
15055;Yes;2.University;Single;23;8447,6616;602,2;0
6022;Yes;1.High School;Married;25;4950,6862;347,7705;0
33121;No;1.High School;Married;56;10766,7338;1230,2946;0
15055;Yes;1.High School;Married;49;1995,9919;333,3177;0
15055;No;2.University;Married;41;6479,672;410,0982;0
120440;Yes;3.Graduate School;Single;40;596,4791;596,4791;0
51187;No;2.University;Single;31;17503,5452;903,3;0
84308;No;2.University;Married;42;44692,8752;2077,59;0
39143;Yes;1.High School;Married;28;15192,3016;752,75;0
63231;Yes;2.University;Single;32;15201,3346;1505,5;0
111407;No;2.University;Single;28;71970,4275;6022;0
9033;Yes;2.University;Married;31;5851,2763;963,52;0
24088;Yes;2.University;Single;24;23275,9333;933,41;0
84308;Yes;2.University;Married;44;54733,6569;0;1
72264;Yes;2.University;Single;26;2258,25;301,1;0
3011;No;2.University;Single;33;2749,3441;752,75;0
84308;No;2.University;Married;39;1071,0127;1071,0127;0
87319;Yes;1.High School;Single;27;4701,3754;602,2;0
